Date,hour,screening_hall,screening_mode,free,sold
04.05.2019, 22:30 ,Αίθουσα 2,2d,233,49
04.05.2019, 23:00 ,Αίθουσα 4,2d,166,19
04.05.2019, 23:30 ,Αίθουσα 3,2d,278,5
05.05.2019, 12:00 ,Αίθουσα 3,2d,277,6
05.05.2019, 13:00 ,Αίθουσα 7,2d,241,0
05.05.2019, 14:00 ,Αίθουσα 1,IMAX 3D,296,13
05.05.2019, 15:00 ,Αίθουσα 2,2d,278,4
05.05.2019, 16:00 ,Αίθουσα 3,2d,274,9
05.05.2019, 17:00 ,Αίθουσα 7,2d,213,28
05.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,244,65
05.05.2019, 19:00 ,Αίθουσα 2,2d,241,41
05.05.2019, 20:00 ,Αίθουσα 3,2d,275,8
05.05.2019, 20:45 ,Αίθουσα 7,2d,230,11
05.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,245,64
05.05.2019, 22:00 ,Αίθουσα 6,2d,195,3
05.05.2019, 22:30 ,Αίθουσα 2,2d,282,0
05.05.2019, 23:00 ,Αίθουσα 4,2d,185,0
06.05.2019, 17:00 ,Αίθουσα 7,2d,241,0
06.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,306,3
06.05.2019, 19:00 ,Αίθουσα 2,2d,282,0
06.05.2019, 20:00 ,Αίθουσα 3,2d,277,6
06.05.2019, 20:45 ,Αίθουσα 7,2d,241,0
06.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,294,15
06.05.2019, 22:00 ,Αίθουσα 6,2d,198,0
06.05.2019, 22:30 ,Αίθουσα 2,2d,280,2
06.05.2019, 23:00 ,Αίθουσα 4,2d,185,0
07.05.2019, 17:00 ,Αίθουσα 7,2d,235,6
07.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,286,23
07.05.2019, 19:00 ,Αίθουσα 2,2d,238,44
07.05.2019, 20:00 ,Αίθουσα 3,2d,218,65
07.05.2019, 20:45 ,Αίθουσα 7,2d,218,23
07.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,231,78
07.05.2019, 22:00 ,Αίθουσα 6,2d,187,11
07.05.2019, 22:30 ,Αίθουσα 2,2d,275,7
07.05.2019, 23:00 ,Αίθουσα 4,2d,179,6
07.05.2019, 23:30 ,Αίθουσα 3,2d,281,2
08.05.2019, 17:00 ,Αίθουσα 7,2d,241,0
08.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,309,0
08.05.2019, 19:00 ,Αίθουσα 2,2d,282,0
08.05.2019, 20:00 ,Αίθουσα 3,2d,281,2
08.05.2019, 20:45 ,Αίθουσα 7,2d,241,0
08.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,300,9
08.05.2019, 22:00 ,Αίθουσα 6,2d,198,0
08.05.2019, 22:30 ,Αίθουσα 2,2d,282,0
08.05.2019, 23:00 ,Αίθουσα 4,2d,185,0
